#,Date-Time (MDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Host Connected,End of File
1,07/13/2023 16:55:17,29.21,212.64,,
2,07/13/2023 17:10:17,27.58,294.64,,
3,07/13/2023 17:25:17,26.98,256.64,,
4,07/13/2023 17:40:17,26.60,288.72,,
5,07/13/2023 17:55:17,26.17,244.88,,
6,07/13/2023 18:10:17,25.78,243.20,,
7,07/13/2023 18:25:17,25.48,232.08,,
8,07/13/2023 18:40:17,25.18,216.16,,
9,07/13/2023 18:55:17,24.92,167.84,,
10,07/13/2023 19:10:17,24.79,194.08,,
11,07/13/2023 19:25:17,24.54,205.12,,
12,07/13/2023 19:40:17,24.41,211.12,,
13,07/13/2023 19:55:17,24.32,219.52,,
14,07/13/2023 20:10:17,24.28,228.96,,
15,07/13/2023 20:25:17,24.15,230.64,,
16,07/13/2023 20:40:17,24.11,192.56,,
17,07/13/2023 20:55:17,24.02,109.80,,
18,07/13/2023 21:10:17,24.11,55.10,,
19,07/13/2023 21:25:17,24.36,17.26,,
20,07/13/2023 21:40:17,24.49,3.56,,
21,07/13/2023 21:55:17,24.62,0.83,,
22,07/13/2023 22:10:17,24.75,0.62,,
23,07/13/2023 22:25:17,24.75,0.62,,
24,07/13/2023 22:40:17,24.84,1.67,,
25,07/13/2023 22:55:17,24.88,1.67,,
26,07/13/2023 23:10:17,24.92,0.62,,
27,07/13/2023 23:25:17,24.97,0.62,,
28,07/13/2023 23:40:17,25.01,0.62,,
29,07/13/2023 23:55:17,25.05,0.62,,
30,07/14/2023 00:10:17,25.09,1.67,,
31,07/14/2023 00:25:17,25.09,0.62,,
32,07/14/2023 00:40:17,25.14,0.62,,
33,07/14/2023 00:55:17,25.14,0.62,,
34,07/14/2023 01:10:17,25.14,0.62,,
35,07/14/2023 01:25:17,25.14,0.62,,
36,07/14/2023 01:40:17,25.05,0.62,,
37,07/14/2023 01:55:17,25.09,0.62,,
38,07/14/2023 02:10:17,25.05,0.62,,
39,07/14/2023 02:25:17,25.05,0.62,,
40,07/14/2023 02:40:17,25.01,0.62,,
41,07/14/2023 02:55:17,25.01,0.62,,
42,07/14/2023 03:10:17,24.92,0.62,,
43,07/14/2023 03:25:17,24.92,0.62,,
44,07/14/2023 03:40:17,24.92,0.62,,
45,07/14/2023 03:55:17,24.88,0.62,,
46,07/14/2023 04:10:17,24.88,0.62,,
47,07/14/2023 04:25:17,24.84,0.62,,
48,07/14/2023 04:40:17,24.84,0.62,,
49,07/14/2023 04:55:17,24.79,0.62,,
50,07/14/2023 05:10:17,24.84,0.62,,
51,07/14/2023 05:25:17,24.66,0.62,,
52,07/14/2023 05:40:17,24.24,0.62,,
53,07/14/2023 05:55:17,23.94,2.30,,
54,07/14/2023 06:10:17,23.68,12.19,,
55,07/14/2023 06:25:17,23.51,37.75,,
56,07/14/2023 06:40:17,23.29,73.82,,
57,07/14/2023 06:55:17,23.29,229.76,,
58,07/14/2023 07:10:17,23.25,286.24,,
59,07/14/2023 07:25:17,23.38,301.44,,
60,07/14/2023 07:40:17,23.42,297.92,,
61,07/14/2023 07:55:17,23.51,286.00,,
62,07/14/2023 08:10:17,23.59,270.88,,
63,07/14/2023 08:25:17,23.64,259.20,,
64,07/14/2023 08:40:17,23.76,255.84,,
65,07/14/2023 08:55:17,23.81,253.28,,
66,07/14/2023 09:10:17,23.81,251.60,,
67,07/14/2023 09:25:17,23.89,234.00,,
68,07/14/2023 09:40:17,23.85,229.60,,
69,07/14/2023 09:55:17,23.85,231.28,,
70,07/14/2023 10:10:17,23.89,231.44,,
71,07/14/2023 10:25:17,23.85,233.12,,
72,07/14/2023 10:40:17,23.89,236.48,,
73,07/14/2023 10:55:17,23.89,237.36,,
74,07/14/2023 11:10:17,24.24,293.60,,
75,07/14/2023 11:25:17,25.05,291.92,,
76,07/14/2023 11:40:17,25.22,307.12,,
77,07/14/2023 11:55:17,25.44,313.92,,
78,07/14/2023 12:10:17,25.65,300.40,,
79,07/14/2023 12:25:17,25.78,295.44,,
80,07/14/2023 12:40:17,25.31,309.76,,
81,07/14/2023 12:55:17,25.14,263.36,,
82,07/14/2023 13:10:17,24.88,258.32,,
83,07/14/2023 13:25:17,24.66,260.00,,
84,07/14/2023 13:40:17,24.58,259.20,,
85,07/14/2023 13:55:17,24.41,258.32,,
86,07/14/2023 14:10:17,24.28,258.32,,
87,07/14/2023 14:25:17,24.41,375.68,,
88,07/14/2023 14:40:17,24.97,368.00,,
89,07/14/2023 14:55:17,25.31,345.12,,
90,07/14/2023 15:10:17,25.74,366.40,,
91,07/14/2023 15:25:17,25.57,362.24,,
92,07/14/2023 15:40:17,25.57,302.08,,
93,07/14/2023 15:55:17,25.74,297.92,,
94,07/14/2023 16:10:17,25.91,297.92,,
95,07/14/2023 16:25:17,26.04,287.84,,
96,07/14/2023 16:40:17,26.17,288.72,,
97,07/14/2023 16:55:17,26.12,280.32,,
98,07/14/2023 17:10:17,26.12,282.88,,
99,07/14/2023 17:25:17,26.12,275.36,,
100,07/14/2023 17:40:17,26.25,282.00,,
101,07/14/2023 17:55:17,26.25,271.76,,
102,07/14/2023 18:10:17,26.25,265.84,,
103,07/14/2023 18:25:17,26.04,259.20,,
104,07/14/2023 18:40:17,25.65,252.48,,
105,07/14/2023 18:55:17,25.35,204.24,,
106,07/14/2023 19:10:17,25.09,200.08,,
107,07/14/2023 19:25:17,24.88,196.72,,
108,07/14/2023 19:40:17,24.71,205.92,,
109,07/14/2023 19:55:17,24.54,223.68,,
110,07/14/2023 20:10:17,24.49,239.04,,
111,07/14/2023 20:25:17,24.41,246.56,,
112,07/14/2023 20:40:17,24.36,218.88,,
113,07/14/2023 20:55:17,24.32,146.04,,
114,07/14/2023 21:10:17,24.36,48.58,,
115,07/14/2023 21:25:17,24.62,16.79,,
116,07/14/2023 21:40:17,24.71,2.51,,
117,07/14/2023 21:55:17,24.79,0.00,,
118,07/14/2023 22:10:17,24.84,0.00,,
119,07/14/2023 22:25:17,24.88,0.00,,
120,07/14/2023 22:40:17,24.92,0.00,,
121,07/14/2023 22:55:17,24.92,0.00,,
122,07/14/2023 23:10:17,25.01,0.00,,
123,07/14/2023 23:25:17,24.97,0.00,,
124,07/14/2023 23:40:17,25.01,0.00,,
125,07/14/2023 23:55:17,24.97,1.88,,
126,07/15/2023 00:10:17,25.01,0.00,,
127,07/15/2023 00:25:17,24.97,0.00,,
128,07/15/2023 00:40:17,24.92,0.00,,
129,07/15/2023 00:55:17,24.92,0.00,,
130,07/15/2023 01:10:17,24.92,0.00,,
131,07/15/2023 01:25:17,24.88,0.00,,
132,07/15/2023 01:40:17,24.84,0.00,,
133,07/15/2023 01:55:17,24.88,0.00,,
134,07/15/2023 02:10:17,24.79,0.00,,
135,07/15/2023 02:25:17,24.79,0.00,,
136,07/15/2023 02:40:17,24.79,0.00,,
137,07/15/2023 02:55:17,24.75,0.00,,
138,07/15/2023 03:10:17,24.71,0.00,,
139,07/15/2023 03:25:17,24.66,0.00,,
140,07/15/2023 03:40:17,24.66,0.00,,
141,07/15/2023 03:55:17,24.66,0.00,,
142,07/15/2023 04:10:17,24.58,0.00,,
143,07/15/2023 04:25:17,24.58,0.00,,
144,07/15/2023 04:40:17,24.54,0.00,,
145,07/15/2023 04:55:17,24.54,0.00,,
146,07/15/2023 05:10:17,24.49,0.00,,
147,07/15/2023 05:25:17,24.45,0.00,,
148,07/15/2023 05:40:17,24.45,0.00,,
149,07/15/2023 05:55:17,24.36,1.25,,
150,07/15/2023 06:10:17,24.32,9.91,,
151,07/15/2023 06:25:17,24.32,35.04,,
152,07/15/2023 06:40:17,24.32,72.56,,
153,07/15/2023 06:55:17,24.45,230.64,,
154,07/15/2023 07:10:17,24.54,291.28,,
155,07/15/2023 07:25:17,24.71,309.76,,
156,07/15/2023 07:40:17,24.84,306.40,,
157,07/15/2023 07:55:17,25.05,294.56,,
158,07/15/2023 08:10:17,25.18,279.52,,
159,07/15/2023 08:25:17,25.18,270.08,,
160,07/15/2023 08:40:17,25.05,265.84,,
161,07/15/2023 08:55:17,24.97,264.16,,
162,07/15/2023 09:10:17,24.92,260.00,,
163,07/15/2023 09:25:17,24.88,243.20,,
164,07/15/2023 09:40:17,24.84,241.52,,
165,07/15/2023 09:55:17,24.79,243.20,,
166,07/15/2023 10:10:17,24.79,243.20,,
167,07/15/2023 10:25:17,24.75,245.76,,
168,07/15/2023 10:40:17,24.75,247.44,,
169,07/15/2023 10:55:17,24.75,248.24,,
170,07/15/2023 11:10:17,24.71,247.44,,
171,07/15/2023 11:25:17,24.75,249.12,,
172,07/15/2023 11:40:17,24.75,249.12,,
173,07/15/2023 11:55:17,24.71,248.24,,
174,07/15/2023 12:10:17,24.79,248.24,,
175,07/15/2023 12:25:17,24.75,249.92,,
176,07/15/2023 12:40:17,24.79,251.60,,
177,07/15/2023 12:55:17,24.79,255.84,,
178,07/15/2023 13:10:17,24.79,256.64,,
179,07/15/2023 13:25:17,24.88,256.64,,
180,07/15/2023 13:40:17,24.84,254.96,,
181,07/15/2023 13:55:17,24.88,266.08,,
182,07/15/2023 14:10:17,24.88,255.84,,
183,07/15/2023 14:25:17,24.92,253.28,,
184,07/15/2023 14:40:17,24.88,252.48,,
185,07/15/2023 14:55:17,24.92,252.48,,
186,07/15/2023 15:10:17,24.92,251.60,,
187,07/15/2023 15:25:17,24.97,250.80,,
188,07/15/2023 15:40:17,24.97,250.80,,
189,07/15/2023 15:55:17,24.97,251.60,,
190,07/15/2023 16:10:17,25.09,253.28,,
191,07/15/2023 16:25:17,25.35,273.68,,
192,07/15/2023 16:40:17,25.48,251.60,,
193,07/15/2023 16:55:17,25.65,244.88,,
194,07/15/2023 17:10:17,25.78,244.88,,
195,07/15/2023 17:25:17,25.91,243.20,,
196,07/15/2023 17:40:17,26.04,239.04,,
197,07/15/2023 17:55:17,26.17,238.16,,
198,07/15/2023 18:10:17,26.30,235.68,,
199,07/15/2023 18:25:17,26.38,228.72,,
200,07/15/2023 18:40:17,26.47,219.52,,
201,07/15/2023 18:55:17,26.51,216.16,,
202,07/15/2023 19:10:17,26.64,213.60,,
203,07/15/2023 19:25:17,26.72,212.80,,
204,07/15/2023 19:40:17,26.77,217.84,,
205,07/15/2023 19:55:17,26.85,232.32,,
206,07/15/2023 20:10:17,26.98,241.52,,
207,07/15/2023 20:25:17,27.07,241.52,,
208,07/15/2023 20:40:17,27.20,211.92,,
209,07/15/2023 20:55:17,27.28,92.12,,
210,07/15/2023 21:10:17,27.28,39.61,,
211,07/15/2023 21:25:17,27.24,11.38,,
212,07/15/2023 21:40:17,27.28,1.49,,
213,07/15/2023 21:55:17,27.24,0.00,,
214,07/15/2023 22:10:17,27.20,0.00,,
215,07/15/2023 22:25:17,27.11,0.00,,
216,07/15/2023 22:40:17,27.11,0.00,,
217,07/15/2023 22:55:17,26.98,0.00,,
218,07/15/2023 23:10:17,26.94,0.00,,
219,07/15/2023 23:25:17,26.90,0.00,,
220,07/15/2023 23:40:17,26.81,0.00,,
221,07/15/2023 23:55:17,26.72,0.00,,
222,07/16/2023 00:10:17,26.72,0.00,,
223,07/16/2023 00:25:17,26.64,0.00,,
224,07/16/2023 00:40:17,26.60,0.00,,
225,07/16/2023 00:55:17,26.55,0.00,,
226,07/16/2023 01:10:17,26.51,0.00,,
